Tweet,Followees,Followers,No of posts,Retweet count,Favorite count,Positive words,Negative words,No: of Words
Here's advice on how to keep refinancing a #mortgage from hurting your #credit.  https://t.co/jMwWFqEHGV https://t.co/KyskG32mTU,87,31,328,0,0,0,1,16
"You piss me off so much, i dont want you to cling onto my arm or rip my hands off of things which ends up hurting m… https://t.co/MJF7eyWB8h",231,212,4704,0,2,0,2,28
@marwilliamson When we start rewarding individuals for making people and planet better that’s when we’ll see an end… https://t.co/reXT0Sb59T,3302,3242,18569,0,0,2,0,19
i’m hurting myself https://t.co/jPtXwEB1AF,1634,2404,29893,1,4,0,1,4
Can't sleep my back is hurting so bad.,182,88,5664,0,0,0,2,8
"hey bitch, i know u have been hurting now. but, don't hurt my heart to, just because ur hurt more bad than me",1,0,92,0,0,0,5,23
I have a way of finding out things people are hiding from me and I hate it cos it's always things that end up hurting my feelings😢,1044,7783,86425,0,0,0,2,27
Why won't you stop hurting me? My heart is all dried up..,5,11,10045,0,0,0,1,12
"@atzgenre Honestly do what you gotta do as long as you are not disrespecting and hurting other groups, imma just ro… https://t.co/rFytNs056H",644,759,68199,0,0,0,2,22
@francescamatt14 @MillieOTLFP @rotrujo @weejockmcfurr @VitCza @Pixie_Tooth @paddyscousedog @macwhittle Its hurting… https://t.co/FsQ4A9D8Kl,543,463,14108,0,1,0,0,11
Daycare is a MESS and I am thankful there are passionate people who are willing to overlook that but the pay and th… https://t.co/gYo7UwbHoO,713,886,922,0,2,3,1,24
@Brownskinned06 They’re con artists who take advantage of people who are hurting.,2122,838,26350,0,0,1,1,12
"@Jan_Leeming Same here. Had my jab 3 weeks ago, only started hurting a few days ago.",4839,3586,426165,0,0,0,1,16
@FxllenScar What’s hurting you...?,360,113,4018,0,0,0,1,4
my heart is hurting for winter and karina. FUCK SM for downplaying the situation and DARE SAY “he didn’t do anythin… https://t.co/YoVeCNf8os,4409,3904,3503,9,40,0,1,22
I'm sure Atari is really hurting from the fact I'm emulating Halloween for the Atari 2600 from 1983. https://t.co/yK96hnafQ4,71,69,18333,1,2,0,1,19
"@lailatweetzx @MONR0WE If it isn’t hurting you, what’s the harm in carrying on? Because a qualified person said so?… https://t.co/4McnAE7D6f",618,399,201,0,0,1,2,20
"@MaximustheMad2 Tech tried really hard to force Maximus out of his mind and his face glitched, ""Don't- do this-"" hi… https://t.co/A5VRubgB4t",249,202,1349,0,0,0,1,21
@mcagataytosun7 Hurting like hell ☹️,451,246,7417,0,0,1,1,5
it's literally not hurting you. simply let us be.,142,21,505,0,2,0,1,9
@gothixTV Haven't argued with anyone on the internet for a couple days :D. I managed to clean up a tad - but fell y… https://t.co/PmUAPttmqg,186,16,2613,0,0,1,1,25
@LyricsArtPH POV: u were saying those lyrics ur ex but u just end up hurting urself.,122,10,6155,0,0,0,1,16
@LIX0RBIT Then stop I'm hurting here,1540,1465,24228,0,0,0,1,6
Day 129474847: My back is STILL hurting 🥴,108,195,13309,0,0,0,1,8
"Praise GOD for all that HE is. Whether you are unemployed, single, incarcerated, hurting, heartbroken, or sick.Give GOD praise.HE is Worthy",39,19,67038,0,0,0,2,21
"@churchlady320 @_SJPeace_ I did not blame their anger, and agreed it's (also) on us.  I said blaming ALL of us is n… https://t.co/jPn7Igh9zG",2697,1961,21129,0,0,0,2,24
I thought planning a babyshower was stressful ...... my head hurting planning a party,120,40,93,0,0,0,2,14
"I need to see the group angry, hurting, just straight up missing him and feeling it like we're all feeling it.",457,216,11643,0,0,1,2,21
I can tell today finna be a perc day Terre finna have my head hurting 🥴,264,195,990,0,0,0,1,16
@Mister_Lennox Hands of steel when you punching folks in the head and they legs hurting for days 😂,442,350,22852,0,0,0,1,18
"@gent_young Once you've expressed how you need to receive love, don't settle for whatever someone is content to giv… https://t.co/mkzfwmAzIl",13,5,80,0,0,1,0,20
@Poptartman1231 @amiri0v0 @MightBeMekhi @CoolinMetro @whoskumba @ayodocc @419gwalla @perchardy @drippyxdrank… https://t.co/vj6z0e3nft,1083,1126,53058,0,3,0,0,10
My legs are hurting so bad.,1683,2628,195474,0,0,0,2,6
Everytime my girl offer me to go get my toes done I get wild offended and dub her shit...then as soon as she leave… https://t.co/edmB4xmRvt,146,263,57436,0,0,0,1,25
Man this diamond hands are hurting me right now 😂,241,358,42461,0,0,1,1,10
@Klopps_Grapes You’d be able to sue your teachers now for hurting your feelings.,1928,1552,54402,0,1,0,2,13
Well I felt like I was getting a bit sick last night and woke up sick as hell.  So probably no streams for a day or… https://t.co/IB3x8w3ZbX,72,24,173,0,0,1,3,28
"@Compound_succes NO Hurting Ourselves
NO Hurting Others
NO Hurting Our Things",1347,162,5781,0,1,0,0,9
and if i wake up with my knees still hurting i will go feral,3373,3137,55054,0,0,0,1,14
"@28fankyouniall mia- you’re all i want, so much it’s hurting",170,71,1497,0,1,0,1,10
Find someone who hates hurting ur heart,13,18,89,0,0,0,2,7
"and I wish i could do better but all i can do is talk so i will. please stop hurting yourself, do it for me if you… https://t.co/4VwZrvJxPU",7231,7240,37406,0,0,1,1,28
My stomach hurting so bad while I’m at work rn 😒,2096,542,1328,0,0,1,2,11
"@FredTuc20771568 @stevenbsandberg @HeatvsHaters dude its not up to management to keep him a player, thats his decis… https://t.co/DcMAZyBCXR",113,98,1425,0,0,0,0,18
"@1thousand1000 @theyenvymar Rich shut up I’m disappointed in you , hurting my hg ale like that 🙄",60,60,362,0,0,1,2,17
@miemie_CFC @Bella_d_pearl Who is hurting you? I'm about to fight,3159,3585,13173,0,1,0,1,10
Ignoring your intuition will have you hurting in the end,525,196,9027,0,0,0,1,10
And the whole point of acceptance of people’s differences and gender/racial/orientation equality is for us to be tr… https://t.co/3O8tGm6Oly,543,35312,5108,5,44,0,0,19
my vocab for school be hurting me today 🚶‍♂️ https://t.co/osRhk5MwGu,701,2449,15227,2,21,0,1,10
idk why i’m insistent upon hurting my own feelings,1078,1371,32617,0,0,0,1,9
@IL0VEthe80s Every so often I think about how the swing and big band music my dad used to listen to back in the 80s… https://t.co/7Gr8PDb24O,374,697,67833,0,0,0,0,25
@Lesbian_Bhader We’re also hurting ourselves in the process,251,168,13020,0,1,0,1,8
"I can’t drink liquor, my stomach be hurting too bad the next day.",1892,2107,21421,0,0,0,2,13
imm sleep for real cause its hurting much,368,380,6811,0,1,0,1,8
"Some of the most struggling, depressed, &amp; hurting people in this world walk around shielding their issues behind a… https://t.co/ZZoQdpX8AA",384,238,7189,0,1,0,4,20
I’m not only hurting myself but I’m hurting you,13,14,318,0,0,0,2,9
I will never understand why people bash other people for coming up with creative ways to make money. As long as the… https://t.co/REAVZYmiCs,293,529,10931,0,1,1,1,23
Oh my GOD I AM SO UNBELIEVABLY STRESSED AFTER LOOKING AT CHEMISTRY HOMEWORK AND NOT KNOWING HOW TO FUCKING DO IT. M… https://t.co/DxIUjWGh7A,43,24,550,0,0,0,0,23
Just do what makes you happy all the time and do it without hurting anybody.,406,185,299,0,0,1,1,15
"me: “why is my back hurting so bad?”

me in my sleep: https://t.co/GB4zkF0pXw",587,7596,5666,6,47,0,1,12
if my head could stop hurting that’d be nice,916,973,51019,0,0,1,1,9
"@TinyTANofficial ""WORLDWIDE CUTIE"" 
YOUR HURTING ME https://t.co/Qru0HBvEfa",81,1,295,0,0,0,0,7
Maturity is when u realize this world is totally fucked up but I can still move on and find a way towards a happy l… https://t.co/MQTprMaIUV,656,1512,4820,0,2,1,0,26
"If someone calls themselves reliable, honest, trustworthy, etc, that's a red flag that warns you that they aren't.… https://t.co/3semIHiluH",147,2,359,0,1,3,0,19
@bahlivern Totally hurting the game industry. Which it clearly doesn’t deserve,1237,426,38924,0,1,1,1,11
i can’t even imagine how much their phone storage is hurting plssss,123,86,2699,0,0,0,1,12
All the new Bad Bunny fans hurting rn 😂 https://t.co/o0q7733QHN,430,192,5922,0,0,1,1,10
IT’S HURTING SM,1282,1593,15406,0,0,0,0,3
"Hurting people, hurt people.
And they never take responsibility.
Luke 6:45  “The good man brings good things out of… https://t.co/bETQqXeAim",1076,150,1759,0,0,2,1,19
My back be hurting,337,295,8469,0,0,0,1,4
@SE0NGHWX WHY DO U KEEP HURTING URSELF PLS,54,49,53,0,0,0,0,8
@LoriBen74428944 do you not realize that wearing masks aren't hurting anyone. wearing masks are preventing us from… https://t.co/yFE5zkrzOi,37,1,41,0,0,0,1,18
Hurting from rain and not feeling great but I'm going live painting some action figures &lt;3 #live #twitch… https://t.co/DvkRup1otA,479,470,6733,2,2,1,0,19
"Oh yeah, those really old games that aren't being sold anymore sure is hurting the industry :'( 
I guess I should b… https://t.co/r4o5i1cIrj",57,12,373,0,0,0,1,23
@mommatofour_ With my first daughter I was 34 weeks and it was out of no where! I had some irregular contractions a… https://t.co/fKygQtkxvO,749,871,16305,0,1,0,1,23
I’m tryna figure out why my stomach is hurting like there is absolutely no reason! I ain’t even eat nothing wrong  yet lol 🙄,669,643,15010,0,0,1,2,25
That man walking like he hurting 😭😂😂 https://t.co/G8M8vnOYNf,423,428,14404,0,0,1,1,8
my head is hurting and i'm ready to go 😒,699,724,16606,0,0,1,1,10
"@JonnyTzg ""But you're hurting those multimillionaire companies though.""",591,680,8642,0,1,0,1,8
"1️⃣ I did Group Therapy. This was great because it showed me that my pain was very relative.

I was able to see pee… https://t.co/2Fv90k33UV",338,235,413,0,0,1,1,24
At work during sigma week I’m really hurting right now 😤😂,3794,4636,22890,0,0,2,1,11
@AngelCoreVA Tf is this shit you said you weren't a furry you will pay for hurting skyrim and her people,488,58,2869,0,0,0,2,20
The most unhealthy decision a woman can make is to stay w/ a man when he is at his “worst”. Staying doesn’t change… https://t.co/FFffRfVGee,160,76,1904,0,0,0,1,24
@YZYPZY This is why I stay in the house...my knuckles woulda been hurting after this,513,338,6267,0,1,0,1,15
@YOURBABYKUMA why are they hurting you ?,771,419,5473,0,1,0,1,7
And the man is just too kind hearted to do what’s best for him so he’s suffering in relationship to prevent from hu… https://t.co/hK0ABLfgBl,360,167,8310,0,0,1,1,24
help my teeth are still hurting and im having theatre 😭😭,378,271,1086,0,0,0,1,11
@teamsuperxcorp WE DO BE HURTING 🥲,655,4436,99776,0,1,0,0,6
i want (need) to break up with my boyfriend. but i’m so terrified i hate hurting people and i’m good friends with h… https://t.co/eq20kstDcj,151,100,697,0,1,1,3,24
@SunRisers Noo my eyes are hurting 😭pls stop,51,13,1042,0,0,0,1,8
Stomach Hurting 🥴,107,80,1276,0,0,0,0,3
@ysazee hey cheer up stop overthinking you're just hurting yourself alagaan mo sarili mo i love you :(,0,0,4,0,0,2,1,18
"@nottheribbons And it didn't happen in a vacuum. There were hundreds of horrible, cruel tweets to him just yesterda… https://t.co/5VxSIXPui6",502,2767,403290,2,10,0,2,20
"Why is everyone so angry about hottub streams

It's not hurting anyone and you don't have to watch them??? What's the problem?????",1084,118,6682,0,2,0,3,21
@mrsklvy @staceyabrams There is no such thing as “hurting Georgia “ in this scenario without bludgeoning the middle… https://t.co/Jkmvi20cr5,128,4,46,0,1,0,0,19
i hope u feel better from hurting me,118,62,4697,0,0,1,1,8
"My eyes hurting, my eyes hurting and my eyes hurting.
Lips dry, skin dry, if I cream it's more work to bathe off th… https://t.co/jRFLgPDclR",587,94,3233,0,0,1,3,24
"so, beforw ypu go was there some thing i couldve aaid to make it all stop hurting",122,102,1130,0,0,0,1,17
FIREFLIES?? FELIX FIREFLIES??? what other than hurting me do you know how to do,115,62,1166,0,1,0,1,14
@thellujain Wrong. U need to express whats hurting u to someone at least,130,6,104,0,0,0,1,13
be the person you needed when you were hurting not the person who hurt you. you have to be better than what broke you. break the cycle,419,303,3266,0,0,1,4,27
@adamgreattweet And not hurting yourself while sleeping. And sleeping. #sleptwrong https://t.co/lUlw41UGg4,995,234,3428,0,1,0,1,11
@LIX0RBIT YOURE HURTING ME TOO,955,444,11374,0,1,0,0,5
it's 1am and you're hurting me https://t.co/XBLdX8ol3S,369,317,6331,0,2,0,1,7
My head is fuckin hurting omg,91,9,141,0,0,0,1,6
@yanna_movc sorry :(( im just hurting inside thinking this,368,380,6811,0,1,0,2,9
@rakitoon @RedSunday3 @KaladinSyl @GMA @colton @RobinRoberts No I expressed my opinion just like you and others hav… https://t.co/9CoIqPIgNS,92,97,11844,0,1,1,0,18
@dave_doors @JamesSurowiecki @NateSilver538 Do they have a chapter about hurting your credibility by being a pompou… https://t.co/fYGxP8aNI4,370,20,2605,0,0,0,1,17
"I Don't want to stop feeling.
I want to stop hurting.",22,2,10,0,0,0,1,10
@DarshanRavalDZ My phone just fell on my face a few mins back. Nose is still hurting 😣,61,278,15257,0,0,0,2,17
"@Mr__Slide Yeah, I guess she was used to all the praise she got last season when she went head to head with Leanne… https://t.co/pCbwety1Ga",603,1045,25727,0,1,1,0,24
@prasannalara No left hander apart from Warner at top badly hurting  SRH..,145,21,329,0,0,1,2,13
"It can be really hard to support your partner when you're hurting too. But, it can be oh so necessary. ❤️… https://t.co/RCHJvZhoix",192,182,2747,0,0,1,2,22
@faaithhyyy My heart is hurting but I understand,1464,1958,21710,0,0,0,1,8
@L0ST_VEGAS Really reconsider what you're putting out/making because it IS hurting you in more ways than one.,772,300,5414,0,0,0,1,17
huh.. my head still hurting.,1835,2325,43343,0,0,0,1,5
No worries I’ll make sure to make those kinda films where black people aren’t always hurting or in struggle or in p… https://t.co/9mSAt86D6a,1439,2040,10347,0,1,0,3,23
@L0V4LIX IM HURTING MYSELF,479,680,13896,0,1,0,0,4
"What? I don't really think emulating a 30 year old game you cannot find anywhere would hurt anyone. Besides, most o… https://t.co/1b19z3eHJP",293,71,1548,0,2,0,1,22
@hkdetester His findings were not facts or real pure evidence just fabrication to make shameful money. They say we… https://t.co/WaIZqW9TEy,41,6,315,0,0,1,2,20
im hurting myself BWHAAHAHAH,294,156,5224,0,0,0,1,4
"I can only do so much I’m only one person, seem like ever since I got money everybody say they hurting",268,429,36585,0,0,1,1,21
The way my stomach instantly started hurting,645,233,11899,0,0,1,1,7
Depression is on an all time high right now call and check on the ones who appear to be strong they might be hurting right now.,126,120,135,0,0,3,1,26
I told my son I can’t hold him all day kuz he hurting my back so either you can keep crying or relax ( I doubt he u… https://t.co/7saCD5JIXT,665,715,104746,0,0,0,2,29
my days would be so much better if i wasn't a klutz i could just pass the day without hurting myself,852,653,14591,0,4,1,1,21
@L0ST_VEGAS Yeah nah I can understand that too...I kind of struggle with the same thing? I'd personally say to go d… https://t.co/YvJmAROOlL,772,300,5414,0,0,0,1,22
@BigGayShaun oh heck. Lets hope the rest helps and you know shes not hurting.,330,446,16725,0,0,0,2,14
U rata Violence Le wena hle🤣🤣🤣🤣🤣...TL drama ha e u fete...but you look really wholesome and cool 😄...hape you love… https://t.co/Qy3Klgm8Uu,4920,4155,35799,0,0,2,0,21
Depression is on an all time high right now call and check on the ones who appear to be strong they might be hurting right now.,1945,2072,17579,1,3,3,1,26
@iamnovibrown Yeah I just keep seeing so many bad takes everywhere and I just want people to want better for themse… https://t.co/gsPlEz40jp,378,16138,125916,0,2,1,1,22
@3MIKO777 Bitch send love my way my little heart is hurting,50,29,386,0,1,1,1,11
@landonxk1rby @ruxi_v1 @lizzsaltzz but hurting your friends and people you love for that person is not obsession?!… https://t.co/fxVoz6euN4,123,48,143,0,2,1,1,18
"I know it's hurting u, but's killing me",1558,349,19875,0,0,0,2,8
@JarvisBurgess4 @MarvelNerd89 @jimmyk12682692 @UltraWeedHater And who is he hurting by doing exactly what everybody… https://t.co/8D06eZBtFO,352,72,2500,0,0,0,1,15
the accidental tell me you’re bored and rich without telling me you’re bored and rich i see online is hurting my br… https://t.co/D28Di0vAXf,434,243,23924,0,1,2,4,23
"If you love them but they don’t entertain you , just let it go you hurting yourself 🤞",2933,3001,3693,2,11,2,1,18
Nowadays I can’t eat dairy without my stomach hurting and rumbling weird....what’s going on here https://t.co/XnD9K0opLp,119,47,7286,0,0,0,2,16
"Yes im really hurting the industry by emulating a game that isnt sold anymore, for a console not sold officially an… https://t.co/1YrFfTaqff",609,253,22721,0,2,0,1,22
"@_zvraa Would get it checked out if its hurting a lot, may be a bacterial abscess or maybe your wisdom tooth impact… https://t.co/X6lFANrO97",219,261,6581,0,1,1,1,23
I drove by a little injured black bird in the street and I couldn’t stop to pick him up my heart is HURTING https://t.co/EEtVz4QoAT,147,323,13887,0,0,0,0,24
"@redlianak You end up feeling like deviant for asking for something like ""just sever the nerve so that it stops hur… https://t.co/JVe7SjrJa7",418,1201,18705,0,0,2,1,22
"@Obi1Shinobii Man my ass was still walking around like I was in Vegas 😂 i got a runny nose, stuffy nose, sore throa… https://t.co/3yUUp0JiSD",814,751,67295,0,0,1,2,24
i cant read the narations the color combination hurting my eyes😭😭😭 — I'm so sorry :(( I'll post another version of… https://t.co/JghFmRtXG0,138,296,2507,0,0,0,2,22
@EloquentEnigma @DesideriaMesa My arm is still hurting from your joke 😂😂😂,12617,13477,296819,0,1,0,2,11
i should be studying rn but my heart hurts sm bc of the untamed ffs it's hurting my soul,1917,1885,108674,0,2,0,2,19
"@HOOPERDAD @Timberwolves @NBA Yes, he shouldn’t have run from the police. He should have handled it calmly. But as… https://t.co/nCAhyLSgTa",57,25,3668,0,0,0,0,20
"Bwana Daktari @EzekielMutua, Embarambamba needs mentorship. The concern would have been how best can we harness thi… https://t.co/1DhsUcCjCa",33890,46870,78501,3,22,1,1,18
@gr20053 Emulating decade old games is hurting the industry guys stop being mean :( /j,580,418,6904,0,1,0,1,15
@SCRIPTEDMIRRORS i don’t think he knows he’s hurting them cause he doesn’t know i like him 😁,2739,3330,46732,0,1,1,1,17
"“Every day, I was seeing how this pandemic was hurting many families around the world and here in my community, and… https://t.co/W7mJH9SW1p",115,2659,3855,0,0,0,1,22
@Mansoor_chadhar @pawanpurohit19 @HassanNisar Then why protestor are hurting common citizen. Those who make violenc… https://t.co/f3D1wMQxMz,145,3,25,0,0,0,1,15
"folks, seriously: if you love hip-hop culture and history and aren't listening to this podcast, you're only hurting… https://t.co/CLW4tcKYzH",813,143,17665,0,0,1,0,19
Legit hurting bruh. My stomach hurts from laughing 😂😂😂 https://t.co/BM9cvNMTuw,1604,1132,78751,0,0,0,2,10
"Iran's Rouhani says 60% enrichment is an answer to attack at Natanz site 
Since they have sign a deals with China,… https://t.co/01OamYuMFk",0,2,1089,0,0,1,1,22
My Stomach Was Hurting So Bad Last Night It Woke Me Up Out My Sleep 🥴.,625,626,158562,0,0,0,0,16
I feel like I can definitely braid someone else's hair at this point.  But I still struggle with doing my own hair.… https://t.co/yTtLjwjthF,67,2,83,0,0,1,1,24
"@yopersonaljesus I think it's hurting more than it helps. We already knew he was high, so he just yapped for 4 hours to end up here?",1551,1068,7623,0,0,0,1,26
"@StandWithUs Monumental Miscarriage of justice! HURTING. 
""As long as poverty, injustice and gross inequality persi… https://t.co/QOUTEgSVhi",1122,349,4337,0,1,0,4,16
@CEMETERYLVRS This is hurting my brain. I hate English,57,47,30,0,1,0,2,9
I'm done hurting you. It's time for you to forgive me :),107,10,553,0,0,0,1,12
my head is hurting sm,1283,934,12701,0,0,0,1,5
OMGGGGG I remembered @phuwintang 's twitch stream last time and I told him that my wisdom tooth is hurting and he t… https://t.co/vXeudpyHBG,90,308,81927,0,1,1,1,23
I’m 19.. my back should not be hurting like THIS,340,370,6716,0,0,1,1,10
"#Day25
My stomach won't stop hurting. Another bad day. Also, I wrote very sad things today.. after a long time I guess.",123,942,21552,0,0,0,3,21
I feel like hurting someone after listening to this https://t.co/oWG02soWe2,404,192,86100,0,0,1,1,10
"I got the J&amp;J CCP Virus Vaccination the past Saturday.  

Post-vax: Sore arm.  Fever and chills.  Hip joints hurtin… https://t.co/nbcthUzKDo",819,666,25182,0,0,0,0,23
CEO of hurting my own feelings without any fuckin'reason.,33,48,518,0,0,0,1,9
@gellocheeks Stop it. You know people are really hurting over his absence. Just stop it.,348,302,17367,0,0,0,2,15
@naturaltropius Can they also not get mad when artists and creators literally ask nicely for credit. Like WE'RE the… https://t.co/mtKqJf3OcX,1201,706,9297,0,2,1,1,20
@mongreltooth Apex really be hurting us lifeline mains rn 😔,1619,819,5828,0,1,0,1,10
my throat crazyyyyyyyyy..... he gone keep hurting you 🤷🏾‍♀️,653,906,46107,3,2,0,1,9
@such_A_frknlady Women in general! I wouldve rocked his fatass right when he mentioned hurting her,382,122,13228,0,0,1,1,15
"I'm amazed how our memories work.
It seems we choose sides, and our team can do no wrong, while the other side is a… https://t.co/TGyDjUYSQX",14,5,1855,0,0,2,1,24
@vkeclipse wow now YOURE hurting me im rereading your qrts and im 😭,49,458,1393,0,0,1,1,13
"@bassdrip Hellllll yeah that's the goal honestly, make sure everyone's ear don't get blown out and everyone has a g… https://t.co/DJ95dImrdH",883,1843,9138,0,1,0,0,21
Bruh they got me hurting 🤣🤣🤣🤣,893,1371,9336,0,1,0,1,6
@LoveBrightwin_ idk somewhere its hurting,368,380,6811,0,0,0,1,5
"@trboxing They’re was no jab that, just wild hurting power shots",498,1751,15843,0,0,0,2,11
@ICT_SRHFAN It's more hurting to see Kaviya maaran like that..she's utterly disappointed.,204,12,170,0,1,1,3,12
you're hurting my feelings bro,35,5,75,0,0,0,1,5
Why are all my bones hurting,66,27,1049,0,0,0,1,6
"@starryrn25 @tribranchvo Lmao my arm stopped hurting two days ago I’ve been turning up. Got headaches tho, but surv… https://t.co/fMmuCqpKuX",471,64,7257,0,0,0,2,20
@MyahMorton_ Like it’s almost hurting me at that anybody could possibly be this clueless.,207,128,5101,0,0,0,2,14
@bunniewails @_noorio @Uidward_A Thought it was funny when I first saw it but it obviously is hurting Noor and just overused at this point,443,229,11780,0,3,0,2,24
"@gogorabbit Congrats! I've done some independent research, and can confirm that the second dose doesn't prevent one from hurting ones back.",177,848,4052,0,1,0,1,21
"If you’re not hurting yourself or hurting others, why can you just do what you want with your body and lifestyle. (Obvs nothing illegal)",1826,348,2563,0,0,0,3,24
@soobseuphoria im hurting so much,0,0,12736,0,0,0,1,5
I thought the hurting was over but nooooo Felix is choosing violence today,810,811,15303,0,0,0,1,13
i got the second dose today and my arm hurts so bad but i don’t have time for this shit so pls stop hurting,925,1987,18259,0,0,0,4,24
"@WFKARS I am still at ""never heard of him"" and as long as he's not hurting anyone, ""don't care"" and ""enough"" applies, too.",493,399,6778,0,0,1,1,23
"@Topifer_ *she pouts and looks up at him* they might seem fine, but you know, they have to get kissed every 5 minut… https://t.co/X7yhGKCkqM",499,272,26767,0,1,1,0,24
@w00yu i’m hurting myself too i can’t go on,231,285,5279,0,1,0,1,9
"I know it’s hurting, she salty I scarred her",136,133,2464,0,0,0,2,9
CNN Director: Network Hammering Gaetz ‘To Keep Hurting Him’ Because It’s ‘Great’ For Democrat Party https://t.co/ZQTkcycHRu,104,69,55807,0,0,0,0,16
@Here2boopsnoots He's hurting his sponsors because the gains they receive will be temporary. Most will unfollow aft… https://t.co/rcqhwheJUO,613,1722,7190,0,2,1,1,18
@JP10n It's easier for people who are hurting themselves to hurt the more vulnerable.  (People who are kind and ope… https://t.co/OysBMRoriV,322,253,6800,0,0,1,3,22
"#SRH keeping Kane Williamson on the bench is hurting them now!
#SRHvRCB",201,67,529,0,0,0,1,11
"This absolutely hits home. My own blood relations are seldom there when I'm hurting, so I need to make a new family. https://t.co/blwgn1IjEj",1351,984,36302,0,1,0,1,23
@CandicePlayz why do you want us to feel bad for you you know what you have done and hurting your friend feeling is… https://t.co/ueDOBt7xq9,761,336,5362,0,0,0,2,24
"No

Emulation is not Illegal

Also if they don't make the Games or system Anymore it's not Hurting them because the… https://t.co/YHOrSrBNFA",2005,552,46179,0,6,0,0,20
"@SSmiley https://t.co/kiuSWeQ6br
THIS ONE LOVES HURTING ME LMAO TURN THE CAPTIONS ON BESTIE",146,40,257,0,2,0,0,12
that vase didn't break out of nowhere. i'm sleeping in this room with you whether you like it or not. i can't have… https://t.co/qGzvXV0xxH,6,11,4743,0,0,1,1,24
"The karma comes from the fact that you know your actions are hurting someone else, and you’re doing them anyway. Th… https://t.co/dJZuA7Jycy",1296,49388,338160,9,20,0,1,22
Concept: hurting thots . it has some potential. it's tragic,2,8,63442,0,0,0,2,10
my head is hurting because im just tweeting and retweeting and liking for last one hour but i don’t care about my h… https://t.co/3dl9tzrUI8,191,86,379,6,7,1,1,24
Why won’t you stop hurting me?,9,188,4681,0,0,0,1,6
Sounds like security at Wal-Mart has alot of free time on there hands and also the Manager and some Employees need… https://t.co/D9uh7MeyGw,137,217,5704,0,0,2,0,22
"My back be hurting so bad, I be ill asf",443,508,25522,0,0,0,2,10
@DESERTB1TCH I know. I think I'm more worried about hurting them. They feel fragile. Can I smell them? /Genuine question,20,18,230,0,0,0,4,20
The way my side hurting I feel this girl does beat me in my sleep,296,516,2110,0,2,0,1,15
"""...if they all had to have 4 year degrees at an academy with an emphasis on psychologically screening out authorit… https://t.co/id8MDMsE69",3441,3185,83009,0,0,0,0,21
I keep hurting myself these days,489,342,1658,0,0,0,1,6
My chest been hurting lately 🙄,116,123,1884,0,0,0,1,6
@Eugene_Robinson David Fowler acts like a pompous ass on the stand... The defense is hurting themselves keeping thi… https://t.co/73WGqZJXWI,227,5,404,0,0,1,2,19
"@Ben1Smart1 @dhegdeer @lxghtoflove @lezsbians If male bodied people are trying to be In our spaces, then yes, they… https://t.co/0e97FWdu8F",678,582,11707,0,0,0,0,19
"@PinkDante He's hurting himself. I know he doesn't think he is, but he is. It's making ppl second guess everything.… https://t.co/WON6OEL5Jw",1243,943,31637,0,1,0,1,21
@WISH_TV @DrMaryGillis Come on @wish this is not news.  The reality is the side effects from the Covid 29 vaccine a… https://t.co/32wW0WLJZQ,231,45,984,0,0,0,0,23
"Somebody check on Mike and Sam and the rest of the Cleveland Payroll Guardians this afternoon.  

They’re hurting.… https://t.co/d1mwZm3AmU",2541,2637,2985,1,6,0,0,20
Bro.....why you hurting yourself??? https://t.co/9eWMHPkrVD https://t.co/X8MXqIa0iW,458,173,6138,0,0,0,1,6
@LeahHoustonMD @NurseLexiJ @jidebam I’m actually done with this because at this moment (though I know you could car… https://t.co/AV8rUW6yfC,626,928,9618,0,1,0,0,19
"@Leah_BabyCakes @Destiny_Wasson As far as I'm concerned it's a question of harm done. A ship does not, on its own,… https://t.co/YWwhnqTjfh",113,76,12368,0,0,0,2,21
@peacelovinMimi Me neither! It’s their problem. I also hate people who are shaming others for wearing a mask. I mea… https://t.co/ZgNnW6uOI6,199,216,1800,0,1,0,2,21
can they just stop hurting them ????? leave my babies alone let them be happy and happy together,1061,1501,97950,0,0,2,1,18
"Real talk here for a sec:

I think the Bible says no sex before marriage bc God’s trying to keep us from hurting ou… https://t.co/SSqUxfnf2Q",119,56,1374,0,0,0,1,24
@GregConlin @ABC You have no clue how criminal law works. Learn before you speak. Homicide statutes have definition… https://t.co/itZJVlTQTl,207,6,431,0,0,1,1,19
"Here's the thing about me, I don't care if I agree with you. If you're doing something, (as long as it's not hurtin… https://t.co/5Hiah33gQ5",597,230,6793,0,0,0,0,24
having a font in my dn is hurting my eyes o dearie,1759,1189,29973,0,0,0,1,12
just popping in to say that if you hold me without hurting me you’ll be the first who ever did,573,696,12612,0,6,0,1,20
My hearts been hurting so much recently  I don’t think I’ve felt this low in my life for a long time. I don’t even… https://t.co/x3xWjiVqnG,637,192,3793,0,0,0,1,26
oh my god megumi stop hurting me https://t.co/vxcKUFVrsn,323,530,34988,0,0,0,1,8
will my head ever stop hurting?,189,439,35408,0,0,0,1,6
bone hurting juice for your ears,635,1717,108303,0,1,0,1,6
@SixBrownChicks A3.  Consider yourself blessed and highly favored that she is still your wife AND she is driving yo… https://t.co/BPM6HbbB3H,2790,332,15559,1,4,1,0,21
My head's hurting again https://t.co/mE0uW7HjQG,303,120,6052,0,0,0,1,5
